x, y
580.0, 100.0
625.8982988020837, 97.66291984381193
625.8982988020837, 99.90757509257186
669.3062429974343, 95.65953974935385
669.398114673902, 97.9238115076329
678.2563995327681, 93.41098205966465
678.7389159210453, 95.68836386143421
701.0452242773116, 91.2411421784345
701.3504276782799, 93.30735337021376
707.8125975455741, 88.9276924710071
708.2439968719623, 91.18032164745385
713.9989568655915, 89.18254524236701
714.1105758473109, 86.97503691519006
734.7111862727336, 84.6371295134594
735.1852084956054, 86.9249957533016
756.0800733210647, 84.80780825249877
756.2735708434809, 82.55967497574014
757.5838447367116, 80.37138392219
758.0529355643226, 82.41337480316952
774.2046236687482, 80.31960554466207
774.5488220234313, 78.31716059733911
832.6852797199738, 78.30234211196712
832.732030216015, 76.08821582044928
833.958014181439, 73.73368078331212
834.4552813070823, 75.99201795400289
848.9676606609162, 73.84725080615335
